Language,Created by [CREATED_BY],Ingredient name [INGREDIENT_NAME],Category [CATEGORY],Supplier [SUPPLIER],Allergen [ALLERGEN],Allowed unit [ALLOWED_UNIT],Dietary applicability [DIETARY_APPLICABILITY],Effective start date [EFFECTIVE_START_DATE],Effective end date [EFFECTIVE_END_DATE],Status [STATUS],Last changed by [LAST_CHANGED_BY],Record ID,Data Version,Created At,Updated At,Status,PDF URL
EN,System Administrator,Leek - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,0f1c7dc7-c825-4715-8430-4099af83255a,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Mackerel - tinned,Animal protein,Solucious,Fish,"kg, gr","Diabetic, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,870b8965-a6a4-4547-8d7d-3d6cebcbef09,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Mint - dried,Herbs - spices - condiments,"Freshmed, VDS",None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,8a4a2be8-ff70-4c42-bc22-ece56227889e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Mint - fresh,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,6df8f08a-8f04-4d36-9943-3f2a7578ca0b,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Miso paste,Herbs - spices - condiments,VDS,Soy,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,4ead439b-0f77-48f6-90bd-92dae2bba566,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Mushroom,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,4c03bab0-8ab1-423b-9dc0-5b1f8bbdcac3,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Mushroom - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,a888b14c-87ad-4e66-b643-8cbb7b9a9ffd,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Nutmeg,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,3802d3fe-5e13-417a-85da-bf3dae13f642,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Oat milk,Tins/Pots,Solucious,None,"L, cl","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,734589dd-667b-49c3-8a20-0f3070ce4024,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Olive oil,Herbs - spices - condiments,"VDS, Solucious",None,cl,"Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,a36beb64-e852-481f-b251-35ffef452cdb,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Onion,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,5a034a5e-165a-4216-938e-4d75cca95c47,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Onion - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,4862925b-1d12-4ca4-b293-c4efd53ad9b3,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Oregano - dried,Herbs - spices - condiments,"Freshmed, VDS",None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,712dbfb4-996b-4097-896a-2fb296a7cbd9,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Oregano -fresh,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,48660fad-b06a-4cfb-a189-cc22851db0bc,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Orzo,Dry carbohydrates,"Freshmed, Solucious",Gluten,"kg, gr","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,ac350a77-50cc-4039-8684-501eb9c2059e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Paprika,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,c8b583c7-d918-40c3-91e0-2daa1247b737,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Parsley - dried,Herbs - spices - condiments,"Freshmed, VDS",None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,8437dad8-ec06-4135-960c-40269a5aa3a1,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Parsley - fresh,Herbs - spices - condiments,"Freshmed, Mabru, VDS",None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,5e64feef-de0e-40f7-b021-d9bb218a7974,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Parsnip,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,07fdeef0-d314-48f0-af75-698acdd485b1,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Pasta,Dry carbohydrates,"VDS, Solucious",Gluten,"kg, gr","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,aac26a02-eae4-4106-9419-5cadc6477fda,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Peanut butter,Tins/Pots,Freshmed,Peanuts,"kg, gr, Tbsp","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,3dabe3f1-cdad-4c7a-bca4-8c5e1666ed94,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Pepper,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,fbb73fc8-20ac-4144-8543-6af9674ffcec,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Pepper - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,497e9e84-712d-4937-b3e9-60414aa188d1,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
